participant_id,role,condition,first_topic,second_topic,starter_pattern,Neutral_session_1,Couple_session_1,Neutral_session_2,Couple_session_2
011,A,persuade,Air,Tuition,ABBA,A,B,B,A
012,B,persuade,Air,Tuition,ABBA,A,B,B,A
021,A,compromise,Air,Tuition,ABBA,A,B,B,A
022,B,compromise,Air,Tuition,ABBA,A,B,B,A
031,A,persuade,Tuition,Air,ABBA,A,B,B,A
032,B,persuade,Tuition,Air,ABBA,A,B,B,A
041,A,compromise,Tuition,Air,BAAB,B,A,A,B
042,B,compromise,Tuition,Air,BAAB,B,A,A,B
051,A,persuade,Air,Tuition,BAAB,B,A,A,B
052,B,persuade,Air,Tuition,BAAB,B,A,A,B
061,A,compromise,Air,Tuition,BAAB,B,A,A,B
062,B,compromise,Air,Tuition,BAAB,B,A,A,B
071,A,persuade,Tuition,Air,BAAB,B,A,A,B
072,B,persuade,Tuition,Air,BAAB,B,A,A,B
081,A,compromise,Tuition,Air,ABBA,A,B,B,A
082,B,compromise,Tuition,Air,ABBA,A,B,B,A
091,A,persuade,Air,Tuition,ABBA,A,B,B,A
092,B,persuade,Air,Tuition,ABBA,A,B,B,A
101,A,compromise,Air,Tuition,ABBA,A,B,B,A
102,B,compromise,Air,Tuition,ABBA,A,B,B,A
111,A,persuade,Tuition,Air,ABBA,A,B,B,A
112,B,persuade,Tuition,Air,ABBA,A,B,B,A
121,A,compromise,Tuition,Air,BAAB,B,A,A,B
122,B,compromise,Tuition,Air,BAAB,B,A,A,B
131,A,persuade,Air,Tuition,BAAB,B,A,A,B
132,B,persuade,Air,Tuition,BAAB,B,A,A,B
141,A,compromise,Air,Tuition,BAAB,B,A,A,B
142,B,compromise,Air,Tuition,BAAB,B,A,A,B
151,A,persuade,Tuition,Air,BAAB,B,A,A,B
152,B,persuade,Tuition,Air,BAAB,B,A,A,B
161,A,compromise,Tuition,Air,ABBA,A,B,B,A
162,B,compromise,Tuition,Air,ABBA,A,B,B,A
171,A,persuade,Air,Tuition,ABBA,A,B,B,A
172,B,persuade,Air,Tuition,ABBA,A,B,B,A
181,A,compromise,Air,Tuition,ABBA,A,B,B,A
182,B,compromise,Air,Tuition,ABBA,A,B,B,A
191,A,persuade,Tuition,Air,ABBA,A,B,B,A
192,B,persuade,Tuition,Air,ABBA,A,B,B,A
201,A,compromise,Tuition,Air,BAAB,B,A,A,B
202,B,compromise,Tuition,Air,BAAB,B,A,A,B
211,A,persuade,Air,Tuition,BAAB,B,A,A,B
212,B,persuade,Air,Tuition,BAAB,B,A,A,B
221,A,compromise,Air,Tuition,BAAB,B,A,A,B
222,B,compromise,Air,Tuition,BAAB,B,A,A,B
231,A,persuade,Tuition,Air,BAAB,B,A,A,B
232,B,persuade,Tuition,Air,BAAB,B,A,A,B
241,A,compromise,Tuition,Air,ABBA,A,B,B,A
242,B,compromise,Tuition,Air,ABBA,A,B,B,A
251,A,persuade,Air,Tuition,ABBA,A,B,B,A
252,B,persuade,Air,Tuition,ABBA,A,B,B,A
261,A,compromise,Air,Tuition,ABBA,A,B,B,A
262,B,compromise,Air,Tuition,ABBA,A,B,B,A
271,A,persuade,Tuition,Air,ABBA,A,B,B,A
272,B,persuade,Tuition,Air,ABBA,A,B,B,A
281,A,compromise,Tuition,Air,BAAB,B,A,A,B
282,B,compromise,Tuition,Air,BAAB,B,A,A,B
291,A,persuade,Air,Tuition,BAAB,B,A,A,B
292,B,persuade,Air,Tuition,BAAB,B,A,A,B
301,A,compromise,Air,Tuition,BAAB,B,A,A,B
302,B,compromise,Air,Tuition,BAAB,B,A,A,B
311,A,persuade,Tuition,Air,BAAB,B,A,A,B
312,B,persuade,Tuition,Air,BAAB,B,A,A,B
321,A,compromise,Tuition,Air,ABBA,A,B,B,A
322,B,compromise,Tuition,Air,ABBA,A,B,B,A
331,A,persuade,Air,Tuition,ABBA,A,B,B,A
332,B,persuade,Air,Tuition,ABBA,A,B,B,A
341,A,compromise,Air,Tuition,ABBA,A,B,B,A
342,B,compromise,Air,Tuition,ABBA,A,B,B,A
351,A,persuade,Tuition,Air,ABBA,A,B,B,A
352,B,persuade,Tuition,Air,ABBA,A,B,B,A
361,A,compromise,Tuition,Air,BAAB,B,A,A,B
362,B,compromise,Tuition,Air,BAAB,B,A,A,B
371,A,persuade,Air,Tuition,BAAB,B,A,A,B
372,B,persuade,Air,Tuition,BAAB,B,A,A,B
381,A,compromise,Air,Tuition,BAAB,B,A,A,B
382,B,compromise,Air,Tuition,BAAB,B,A,A,B
391,A,persuade,Tuition,Air,BAAB,B,A,A,B
392,B,persuade,Tuition,Air,BAAB,B,A,A,B
401,A,compromise,Tuition,Air,ABBA,A,B,B,A
402,B,compromise,Tuition,Air,ABBA,A,B,B,A
